code,pref,city,pop,did,did_prop
47302,沖縄県,大宜味村,3092,0,0
47303,沖縄県,東村,1598,0,0
47306,沖縄県,今帰仁村,8894,0,0
47308,沖縄県,本部町,12530,0,0
47311,沖縄県,恩納村,10869,0,0
47313,沖縄県,宜野座村,5833,0,0
47314,沖縄県,金武町,10806,0,0
47315,沖縄県,伊江村,4118,0,0
47324,沖縄県,読谷村,41206,18882,45.8234237732369
47325,沖縄県,嘉手納町,13521,12951,95.7843354781451
47326,沖縄県,北谷町,28201,20441,72.4832452749903
47327,沖縄県,北中城村,17969,0,0
47328,沖縄県,中城村,22157,9309,42.013810533917
47329,沖縄県,西原町,34984,10956,31.3171735650583
47348,沖縄県,与那原町,19695,16931,85.965981213506
47350,沖縄県,南風原町,40440,31965,79.0430267062315
47353,沖縄県,渡嘉敷村,718,0,0
47354,沖縄県,座間味村,892,0,0
47355,沖縄県,粟国村,683,0,0
47356,沖縄県,渡名喜村,346,0,0
47357,沖縄県,南大東村,1285,0,0
47358,沖縄県,北大東村,590,0,0
47359,沖縄県,伊平屋村,1126,0,0
47360,沖縄県,伊是名村,1322,0,0
47361,沖縄県,久米島町,7192,0,0
47362,沖縄県,八重瀬町,30941,10242,33.1017097055687
47375,沖縄県,多良間村,1058,0,0
47381,沖縄県,竹富町,3942,0,0
47382,沖縄県,与那国町,1676,0,0
